number of query genes: 152
hit	support	identity	queries
NCU02357-t26_1 (importin subunit beta-3)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU06118-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU08879-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1
NCU04348-t26_1 (Ribosome biogenesis protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU09070-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU04408-t26_1 (tRNA-processing-5)	4	new	NCU05836-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05798-t26_1
NCU02303-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU02619-t26_1 (tRNA-dihydrouridine synthase-3)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU09843-t26_1 (WD repeat containing protein 57)	4	new	NCU05836-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU17061-t26_1 (DnaJ domain-containing protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1
NCU09609-t26_1 (centromere protein C)	4	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1
NCU06568-t26_1 (kinetochore protein nuf2)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU00599-t26_1 (mitochondrial ribosomal protein-77)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU07528-t26_1 (tRNA-pseudouridine synthase-1)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU08616-t26_1 (DNA-directed RNA polymerase I subunit RPA2)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU06855-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1
NCU02828-t26_1 (condensin complex component cnd2)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU00821-t26_1
NCU07492-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU04749-t26_2 (DNA replication helicase Dna2, variant 1)	4	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1
NCU07956-t26_1 (rRNA maturation-10)	4	new	NCU05836-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU00043-t26_1 (serine/threonine-protein phosphatase PP1)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU00821-t26_1
NCU07574-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU03961-t26_1 (WD repeat protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU00389-t26_1 (developmentally regulated GTP-binding protein 1)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU02006-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU06496-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU02237-t26_1 (GRC3)	4	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1
NCU02810-t26_1 (eukaryotic translation initiation factor 2 gamma subunit)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU07871-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU02371-t26_1 (rhomboid protein 2)	4	new	NCU05836-t26_1, NCU02246-t26_1, NCU01463-t26_1, NCU05917-t26_1
NCU09842-t26_1 (mitogen-activated protein kinase MKC1)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1
NCU04611-t26_1 (transcription elongation factor spt-6)	4	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1
NCU03627-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU06272-t26_1 (mitochondrial ribosomal protein-72)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU06342-t26_1 (phospholipase-5)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU09244-t26_1
NCU08279-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU07712-t26_1 (ATP-dependent RNA helicase dbp-10)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU01438-t26_1 (nucleosome assembly protein)	4	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1
NCU02742-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU03825-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU10776-t26_1 (DNA-repair protein rad2)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1
NCU04273-t26_1 (RNA-binding protein)	4	new	NCU05836-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU02262-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU03035-t26_1, NCU01463-t26_1, NCU05798-t26_1
NCU06767-t26_1 (replication factor C subunit 1)	4	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1
NCU07299-t26_2 (splicing factor 3a subunit 2, variant 1)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU07299-t26_1 (splicing factor 3a subunit 2)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU08402-t26_1 (zinc-binding alcohol dehydrogenase)	4	new	NCU05836-t26_1, NCU02246-t26_1, NCU03035-t26_1, NCU05917-t26_1
NCU07699-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU05293-t26_1 (rRNA processing protein Rrp8)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU07685-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU05889-t26_1 (eukaryotic translation initiation factor 3 subunit 6)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU01367-t26_1 (small nucleolar ribonucleoprotein complex subunit)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU09658-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU03952-t26_1 (U3 small nucleolar ribonucleoprotein mpp10)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU07534-t26_1 (RNA-dependent RNA polymerase)	4	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1
NCU09894-t26_1 (transcription factor-28)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU01503-t26_1 (rRNA maturation-8)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU01435-t26_1 (serine/threonine-protein kinase bur-1)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1
NCU02090-t26_1 (adenine-10)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1
NCU04504-t26_1 (ATP-dependent rRNA helicase rrp-3)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU03924-t26_1 (DNA repair-18)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1
NCU05269-t26_2 (heat shock protein 88, variant 1)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU05269-t26_1 (heat shock protein 88)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU07868-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU09537-t26_1 (rho-GTPase-activating protein 8)	4	new	NCU05836-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02950-t26_1
NCU09503-t26_1 (hypothetical protein)	4	new	NCU05836-t26_1, NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1
NCU04015-t26_1 (vacuolar protein sorting-associated protein 27)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02558-t26_1
NCU05282-t26_1 (hypothetical protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1
NCU07535-t26_1 (SAH-3)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU05917-t26_1
NCU09118-t26_2 (DNA topoisomerase I, variant 1)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU00396-t26_2 (pre-mRNA-splicing factor rse-1, variant 1)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU00821-t26_1
NCU01172-t26_1 (golgi-associated retrograde protein-1)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1
NCU06500-t26_1 (cell division control protein 25)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1
NCU01820-t26_1 (exportin-1)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1
NCU03203-t26_1 (Septal pore-associated protein, putative)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1
NCU08480-t26_1 (HSF-type DNA-binding domain-containing protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU00821-t26_1
NCU01047-t26_1 (hypothetical protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02558-t26_1
NCU06685-t26_1 (protein kinase)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1
NCU04185-t26_2 (protein kinase gsk3, variant 1)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1
NCU04185-t26_1 (protein kinase gsk3)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1
NCU01274-t26_1 (hypothetical protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1
NCU02510-t26_1 (clathrin heavy chain)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1
NCU03962-t26_1 (hypothetical protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU04427-t26_1 (hypothetical protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1
NCU09297-t26_1 (condensin complex component cnd1)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU09730-t26_1 (kinesin heavy chain)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU10715-t26_2 (oxysterol-binding protein-5)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02558-t26_1
NCU10715-t26_1 (oxysterol-binding protein-5)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02558-t26_1
NCU01278-t26_1 (hypothetical protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1
NCU01189-t26_1 (hypothetical protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1
NCU02795-t26_1 (histone deacetylase phd1)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU00821-t26_1
NCU01150-t26_1 (UBA domain-containing protein 3)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02558-t26_1
NCU01288-t26_2 (hypothetical protein, variant 1)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1
NCU01288-t26_1 (hypothetical protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1
NCU06488-t26_1 (SNF2-family ATP dependent chromatin remodeling factor snf21)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1
NCU06027-t26_1 (repressor)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1
NCU03837-t26_1 (Snf1 kinase-1)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU00821-t26_1
NCU00494-t26_1 (hypothetical protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1
NCU00219-t26_1 (hypothetical protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU00821-t26_1
NCU02590-t26_1 (hypothetical protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1
NCU04117-t26_1 (ATP-dependent permease MDL2)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU00388-t26_1 (Septal pore-associated protein, putative)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1
NCU10733-t26_1 (poly(A)-ribonuclease-1)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1
NCU00964-t26_1 (hypothetical protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU09982-t26_1 (cytoplasmic dynein 1 light intermediate chain)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU00821-t26_1
NCU07987-t26_1 (Cystathionine beta-lyase)	4	new	NCU05916-t26_1, NCU02246-t26_1, NCU05917-t26_1, NCU00821-t26_1
NCU07544-t26_2 (ubiquitin ligase BRE1, variant 1)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1
NCU03971-t26_1 (mRNA cap guanine-N7 methyltransferase)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02558-t26_1
NCU00142-t26_1 (hypothetical protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU00821-t26_1
NCU03571-t26_1 (serine/threonine protein kinase)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1
NCU11251-t26_2 (pre-mRNA splicing factor, variant 1)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1
NCU02720-t26_1 (hypothetical protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU09191-t26_1 (hypothetical protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1
NCU06676-t26_1 (hypothetical protein)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1
NCU02351-t26_3 (chitin synthase-11)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1
NCU02351-t26_2 (chitin synthase-11)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1
NCU02351-t26_1 (chitin synthase-11)	4	new	NCU05916-t26_1, NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1
NCU06851-t26_1 (Septal pore-associated protein, putative)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1, NCU03035-t26_1
NCU05064-t26_1 (hemicellulase-specific regulator 1)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1, NCU03035-t26_1
NCU07062-t26_1 (protein kinase)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU02558-t26_1
NCU08499-t26_1 (guanine triphosphate binding-32)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1
NCU07693-t26_1 (stu-1)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU00445-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU01463-t26_1
NCU00675-t26_1 (efr-3)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU02558-t26_1
NCU06928-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1
NCU08001-t26_1 (vacuolar protein-sorting protein bro-1)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU01463-t26_1
NCU03298-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1, NCU00832-t26_1
NCU00577-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU06130-t26_1
NCU01252-t26_1 (MYND domain-containing protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU02558-t26_1
NCU07778-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU00821-t26_1
NCU04456-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU05798-t26_1, NCU00821-t26_1
NCU04757-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU00821-t26_1
NCU10905-t26_1 (SH3 domain-containing protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU02950-t26_1
NCU07971-t26_1 (DUF221 domain-containing protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU06419-t26_1, NCU07191-t26_1
NCU04540-t26_1 (F-box/WD-40 domain-containing protein 1)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU02950-t26_1
NCU01731-t26_1 (VeA-like protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU03035-t26_1
NCU00324-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU01463-t26_1
NCU03914-t26_1 (glucan 1,3-beta-glucosidase)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1, NCU01463-t26_1
NCU02172-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1, NCU00821-t26_1
NCU08000-t26_1 (cutinase transcription factor 1 alpha)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU01463-t26_1
NCU01994-t26_2 (transcription factor-1)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1, NCU00832-t26_1
NCU01994-t26_1 (transcription factor-1)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1, NCU00832-t26_1
NCU06449-t26_1 (trk-1)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1
NCU03783-t26_1 (transmembrane domain transporter)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1, NCU00821-t26_1
NCU03433-t26_1 (Septal pore-associated protein 17)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU06130-t26_1
NCU04990-t26_1 (Protein serine/threonine kinase)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU04847-t26_1
NCU05411-t26_1 (pathway-specific nitrogen regulator)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU06334-t26_1, NCU03035-t26_1
NCU02730-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU09937-t26_1, NCU03035-t26_1
NCU07584-t26_1 (vacuolar sorting protein-9)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU02558-t26_1
NCU04316-t26_1 (serine protease-15)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU00832-t26_1
NCU08869-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU00821-t26_1
NCU01927-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU02950-t26_1
NCU07865-t26_1 (THO complex subunit Tho1)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1, NCU01463-t26_1
NCU04187-t26_1 (cap binding protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU05917-t26_1, NCU02558-t26_1
NCU05936-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1, NCU00832-t26_1
NCU03994-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU01463-t26_1
NCU03649-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1
NCU07558-t26_1 (sporulation protein RMD1)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1, NCU00821-t26_1
NCU00117-t26_1 (exocyst complex component Sec15)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU07191-t26_1, NCU01463-t26_1
NCU03495-t26_1 (protein phosphatase-7)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU02558-t26_1
NCU00046-t26_2 (leucine Rich Repeat domain-containing protein, variant 1)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU04847-t26_1, NCU02988-t26_1
NCU00046-t26_1 (leucine Rich Repeat domain-containing protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU04847-t26_1, NCU02988-t26_1
NCU01581-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU01463-t26_1
NCU01279-t26_1 (endoplamic reticulum-5)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1
NCU02983-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU01463-t26_1
NCU06656-t26_1 (transcriptional activator protein acu-15)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU00821-t26_1
NCU00744-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU04847-t26_1
NCU04307-t26_1 (phenylalanine-7)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU06130-t26_1, NCU00821-t26_1
NCU06065-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1
NCU04310-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1, NCU00821-t26_1
NCU00427-t26_1 (YjeF_N domain-containing protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1
NCU08844-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02175-t26_1, NCU00832-t26_1
NCU04465-t26_1 (nonselective cation channel protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1, NCU00832-t26_1
NCU02644-t26_2 (Telomere binding protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU05798-t26_1
NCU07157-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU05798-t26_1
NCU09824-t26_2 (hypothetical protein, variant 1)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU00821-t26_1
NCU07417-t26_1 (golgi-3)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02950-t26_1, NCU05917-t26_1
NCU04808-t26_2 (hypothetical protein, variant 1)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU02558-t26_1
NCU05925-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU06419-t26_1, NCU01463-t26_1
NCU08945-t26_1 (exoribonuclease-7)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU01463-t26_1
NCU05314-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02950-t26_1, NCU02558-t26_1
NCU00108-t26_1 (serine/threonine-protein kinase)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1
NCU02777-t26_1 (molybdenum cofactor sulfurase)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1, NCU00832-t26_1
NCU03758-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01098-t26_1, NCU01463-t26_1
NCU00085-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU02558-t26_1
NCU04776-t26_1 (Septal pore-associated protein, putative)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1
NCU04885-t26_1 (glycosyl hydrolase family 31-4)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1, NCU02950-t26_1
NCU01456-t26_1 (DUF250 domain membrane protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU06419-t26_1, NCU02175-t26_1
NCU02375-t26_1 (ubiquitin terminal hydrolase-3)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU01463-t26_1
NCU05753-t26_1 (endosome-6)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02950-t26_1, NCU05917-t26_1
NCU05427-t26_2 (serine protease-8)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU01463-t26_1, NCU00821-t26_1
NCU08559-t26_1 (hypothetical protein)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU02246-t26_1, NCU03035-t26_1
NCU08742-t26_1 (DNA repair protein RAD14)	4	new	NCU01789-t26_2, NCU01789-t26_1, NCU03035-t26_1, NCU05798-t26_1
